x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;31236.439305;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;17854.581467;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;34292.716581;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;18087.837457;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;33929.530160;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;17840.924575;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;33479.811847;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;17596.571017;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;32985.833522;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;17314.247079;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;32400.512435;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;16980.027343;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;31712.207890;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;16591.226214;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;30920.154127;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;16148.725211;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;30027.916633;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;15655.118161;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;29041.643569;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;15114.188323;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;27969.542265;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;14530.748972;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;26821.715721;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;13910.589401;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;25610.091690;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;13260.437880;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;24348.339657;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;12587.903402;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;23051.725386;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;11901.376766;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;21736.876589;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;11209.881364;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;20421.448867;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;10522.871689;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;19123.695313;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;9849.985199;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;17861.957799;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;9200.760804;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;16654.112258;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;8584.344306;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;15517.012212;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;8009.206281;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;14465.982005;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;7482.899874;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;13514.411255;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;7011.883910;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;12673.493766;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;6601.430058;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;11952.137423;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
