x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;60942.287264;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;42375.995257;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;66268.536847;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;43500.422778;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;66149.139539;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;43037.183902;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;65320.546950;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;42447.322382;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;64353.459409;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;41759.215805;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;63206.554561;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;40944.974026;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;61858.223162;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;39997.929986;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;60306.802590;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;38920.154398;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;58559.217985;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;37717.939684;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;56627.488078;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;36400.488923;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;54527.672585;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;34979.516194;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;52279.542713;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;33469.110870;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;49906.438391;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;31885.645570;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;47435.104022;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;30247.633594;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;44895.403443;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;28575.488238;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;42319.862253;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;26891.160495;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;39743.016317;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;25217.650398;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;37200.573154;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;23578.405647;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;34728.421285;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;21996.639685;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;32361.550362;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;20494.618328;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;30132.967940;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;19092.976456;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;28072.712603;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;17810.131026;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;26207.063150;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;16661.851494;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;24558.027370;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;15661.032725;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;23143.161583;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;14817.689749;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;21975.726915;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;14139.161536;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;21065.136790;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;13630.477429;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;20417.601361;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;13294.811517;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;20036.838784;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;13133.933512;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;19924.709571;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;13148.564484;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;20081.643751;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;13338.563684;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;20506.770749;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;13702.906053;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;21197.721575;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;14239.452523;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;22150.140106;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;14944.557898;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;23357.000748;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;15812.595119;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;24807.870666;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;16835.492638;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;26488.267752;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;18002.380277;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006409;0.000000;28379.248506;-0.500000;37860121226.811096;37860121226.811096;-0.500000;0.000000;
0.000000;0.006495;0.000000;19299.419102;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006582;0.000000;30457.318150;-0.500000;40665929528.662781;40665929528.662781;-0.500000;0.000000;
0.000000;0.006668;0.000000;20709.857952;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006755;0.000000;32694.699061;-0.500000;43688287617.352242;43688287617.352242;-0.500000;0.000000;
0.000000;0.006842;0.000000;22214.321177;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006928;0.000000;35059.936173;-0.500000;46884672989.799492;46884672989.799492;-0.500000;0.000000;
0.000000;0.007015;0.000000;23791.297267;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007101;0.000000;37518.771008;-0.500000;50208673132.784180;50208673132.784180;-0.500000;0.000000;
0.000000;0.007188;0.000000;25417.772885;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007275;0.000000;40035.187034;-0.500000;53611427663.070290;53611427663.070290;-0.500000;0.000000;
0.000000;0.007361;0.000000;27069.944388;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007448;0.000000;42572.520035;-0.500000;57043160147.244682;57043160147.244682;-0.500000;0.000000;
0.000000;0.007534;0.000000;28723.938941;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007621;0.000000;45094.535413;-0.500000;60454662475.084343;60454662475.084343;-0.500000;0.000000;
0.000000;0.007708;0.000000;30356.487071;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007794;0.000000;47566.394607;-0.500000;63798623653.849617;63798623653.849617;-0.500000;0.000000;
0.000000;0.007881;0.000000;31945.504157;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007967;0.000000;49955.459473;-0.500000;67030732418.933022;67030732418.933022;-0.500000;0.000000;
0.000000;0.008054;0.000000;33470.556764;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008141;0.000000;52231.912221;-0.500000;70110523038.108673;70110523038.108673;-0.500000;0.000000;
0.000000;0.008227;0.000000;34913.208724;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008314;0.000000;54369.197986;-0.500000;73001973772.641479;73001973772.641479;-0.500000;0.000000;
0.000000;0.008400;0.000000;36257.261989;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008487;0.000000;56344.330175;-0.500000;75673911207.332123;75673911207.332123;-0.500000;0.000000;
0.000000;0.008574;0.000000;37488.933049;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008660;0.000000;58138.148677;-0.500000;78100336865.178238;78100336865.178238;-0.500000;0.000000;
0.000000;0.008747;0.000000;38597.053489;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008833;0.000000;59735.730520;-0.500000;80260925649.174698;80260925649.174698;-0.500000;0.000000;
0.000000;0.008920;0.000000;39573.507985;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009007;0.000000;61127.474466;-0.500000;82142321276.646591;82142321276.646591;-0.500000;0.000000;
0.000000;0.009093;0.000000;40414.539610;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009180;0.000000;62312.530726;-0.500000;83742161385.012299;83742161385.012299;-0.500000;0.000000;
0.000000;0.009266;0.000000;41125.151096;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009353;0.000000;63309.843502;-0.500000;85083417213.623810;85083417213.623810;-0.500000;0.000000;
0.000000;0.009440;0.000000;41731.228689;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009526;0.000000;64157.928628;-0.500000;86279577216.475891;86279577216.475891;-0.500000;0.000000;
0.000000;0.009613;0.000000;42204.343374;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009699;0.000000;64301.824768;-0.500000;88005545946.070374;88005545946.070374;-0.500000;0.000000;
0.000000;0.009786;0.000000;41126.120496;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009873;0.000000;59144.731882;-0.500000;102317619895.577728;102317619895.577728;-0.500000;0.000000;
0.000150;0.000000;0.000000;115954.423283;-0.494072;451899762831.003113;451899762831.003113;-0.494072;0.000000;
0.000100;0.000087;0.000000;100601.540469;-0.500000;473536870868.471680;473536870868.471680;-0.500000;0.000000;
0.000150;0.000173;0.000000;130808.213851;-0.494501;582474717635.123169;582474717635.123169;-0.494501;0.000000;
0.000100;0.000260;0.000000;102570.733832;-0.500000;448474949838.747314;448474949838.747314;-0.500000;0.000000;
0.000150;0.000346;0.000000;130784.812079;-0.494554;572078805759.321777;572078805759.321777;-0.494554;0.000000;
0.000100;0.000433;0.000000;101532.264000;-0.500000;441915288983.169128;441915288983.169128;-0.500000;0.000000;
0.000150;0.000520;0.000000;129238.963375;-0.494590;564649612361.020142;564649612361.020142;-0.494590;0.000000;
0.000100;0.000606;0.000000;100162.071429;-0.500000;435845783319.285339;435845783319.285339;-0.500000;0.000000;
0.000150;0.000693;0.000000;127347.848696;-0.494630;556314943907.620728;556314943907.620728;-0.494630;0.000000;
0.000100;0.000779;0.000000;98538.998021;-0.500000;428751250668.002686;428751250668.002686;-0.500000;0.000000;
0.000150;0.000866;0.000000;125081.719039;-0.494679;546371005634.516785;546371005634.516785;-0.494679;0.000000;
0.000100;0.000953;0.000000;96612.127832;-0.500000;420330934432.788513;420330934432.788513;-0.500000;0.000000;
0.000150;0.001039;0.000000;122411.088853;-0.494736;534658399017.939270;534658399017.939270;-0.494736;0.000000;
0.000100;0.001126;0.000000;94369.072144;-0.500000;410528780714.841431;410528780714.841431;-0.500000;0.000000;
0.000150;0.001212;0.000000;119335.837267;-0.494803;521173267507.325439;521173267507.325439;-0.494803;0.000000;
0.000100;0.001299;0.000000;91815.580851;-0.500000;399369956341.954224;399369956341.954224;-0.500000;0.000000;
0.000150;0.001386;0.000000;115870.552233;-0.494879;505978888136.303101;505978888136.303101;-0.494879;0.000000;
0.000100;0.001472;0.000000;88966.793844;-0.500000;386920749604.755371;386920749604.755371;-0.500000;0.000000;
0.000150;0.001559;0.000000;112039.279691;-0.494965;489180699282.894165;489180699282.894165;-0.494965;0.000000;
0.000100;0.001645;0.000000;85844.565692;-0.500000;373276861730.291626;373276861730.291626;-0.500000;0.000000;
0.000150;0.001732;0.000000;107873.866436;-0.495060;470918641609.313110;470918641609.313110;-0.495060;0.000000;
0.000100;0.001819;0.000000;82476.639928;-0.500000;358559814084.760742;358559814084.760742;-0.500000;0.000000;
0.000150;0.001905;0.000000;103413.444460;-0.495164;451364788905.176270;451364788905.176270;-0.495164;0.000000;
0.000100;0.001992;0.000000;78896.370385;-0.500000;342915743725.751282;342915743725.751282;-0.500000;0.000000;
0.000150;0.002078;0.000000;98704.203144;-0.495276;430722311839.151917;430722311839.151917;-0.495276;0.000000;
0.000100;0.002165;0.000000;75142.522337;-0.500000;326514540071.489258;326514540071.489258;-0.500000;0.000000;
0.000150;0.002252;0.000000;93799.092179;-0.495395;409224149882.601929;409224149882.601929;-0.495395;0.000000;
0.000100;0.002338;0.000000;71258.945599;-0.500000;309548409856.365784;309548409856.365784;-0.500000;0.000000;
0.000150;0.002425;0.000000;88757.275115;-0.495521;387130580177.216553;387130580177.216553;-0.495521;0.000000;
0.000100;0.002511;0.000000;67294.011371;-0.500000;292229393226.985718;292229393226.985718;-0.500000;0.000000;
0.000150;0.002598;0.000000;83643.235837;-0.495653;364725244942.293091;364725244942.293091;-0.495653;0.000000;
0.000100;0.002685;0.000000;63299.758459;-0.500000;274785589837.737091;274785589837.737091;-0.500000;0.000000;
0.000150;0.002771;0.000000;78525.497167;-0.495788;342309453740.037048;342309453740.037048;-0.495788;0.000000;
0.000100;0.002858;0.000000;59330.737694;-0.500000;257456044514.405090;257456044514.405090;-0.500000;0.000000;
0.000150;0.002944;0.000000;73474.964543;-0.495927;320194817344.867310;320194817344.867310;-0.495927;0.000000;
0.000100;0.003031;0.000000;55442.586662;-0.500000;240484434168.277161;240484434168.277161;-0.500000;0.000000;
0.000150;0.003118;0.000000;68562.963770;-0.496066;298694520619.388245;298694520619.388245;-0.496066;0.000000;
0.000100;0.003204;0.000000;51690.410846;-0.500000;224111894260.715118;224111894260.715118;-0.500000;0.000000;
0.000150;0.003291;0.000000;63859.096868;-0.496204;278113789112.821533;278113789112.821533;-0.496204;0.000000;
0.000100;0.003377;0.000000;48127.087744;-0.500000;208569504498.117096;208569504498.117096;-0.500000;0.000000;
0.000150;0.003464;0.000000;59429.086429;-0.496338;258740313034.994232;258740313034.994232;-0.496338;0.000000;
0.000100;0.003551;0.000000;44801.640256;-0.500000;194071087904.534637;194071087904.534637;-0.500000;0.000000;
0.000150;0.003637;0.000000;55332.806687;-0.496467;240835518905.228088;240835518905.228088;-0.496467;0.000000;
0.000100;0.003724;0.000000;41757.837288;-0.500000;180807031304.366516;180807031304.366516;-0.500000;0.000000;
0.000150;0.003811;0.000000;51622.700089;-0.496588;224627583652.329407;224627583652.329407;-0.496588;0.000000;
0.000100;0.003897;0.000000;39033.167410;-0.500000;168939782703.785614;168939782703.785614;-0.500000;0.000000;
0.000150;0.003984;0.000000;48342.746300;-0.496698;210306944223.934204;210306944223.934204;-0.496698;0.000000;
0.000100;0.004070;0.000000;36658.293493;-0.500000;158601512087.957245;158601512087.957245;-0.500000;0.000000;
0.000150;0.004157;0.000000;45528.086590;-0.496796;198024768042.864319;198024768042.864319;-0.496796;0.000000;
0.000100;0.004244;0.000000;34657.035196;-0.500000;149894147648.507141;149894147648.507141;-0.500000;0.000000;
0.000150;0.004330;0.000000;43205.317089;-0.496879;187894444609.663696;187894444609.663696;-0.496879;0.000000;
0.000100;0.004417;0.000000;33046.849521;-0.500000;142891653256.118530;142891653256.118530;-0.500000;0.000000;
0.000150;0.004503;0.000000;41393.362146;-0.496945;179995693837.587524;179995693837.587524;-0.496945;0.000000;
0.000100;0.004590;0.000000;31839.699755;-0.500000;137644050519.185303;137644050519.185303;-0.500000;0.000000;
0.000150;0.004677;0.000000;40104.741903;-0.496993;174380444271.536743;174380444271.536743;-0.496993;0.000000;
0.000100;0.004763;0.000000;31043.135255;-0.500000;134182380359.587723;134182380359.587723;-0.500000;0.000000;
0.000150;0.004850;0.000000;39346.976571;-0.497021;171079307712.273468;171079307712.273468;-0.497021;0.000000;
0.000100;0.004936;0.000000;30661.364330;-0.500000;132523616195.065002;132523616195.065002;-0.500000;0.000000;
0.000150;0.005023;0.000000;39123.841771;-0.497030;170107349550.644348;170107349550.644348;-0.497030;0.000000;
0.000100;0.005110;0.000000;30696.101569;-0.500000;132674537146.690323;132674537146.690323;-0.500000;0.000000;
0.000150;0.005196;0.000000;39436.215463;-0.497018;171467974873.442688;171467974873.442688;-0.497018;0.000000;
0.000100;0.005283;0.000000;31147.013341;-0.500000;134633762703.269333;134633762703.269333;-0.500000;0.000000;
0.000150;0.005369;0.000000;40282.336395;-0.496986;175154113456.709381;175154113456.709381;-0.496986;0.000000;
0.000100;0.005456;0.000000;32011.664724;-0.500000;138391511771.110413;138391511771.110413;-0.500000;0.000000;
0.000150;0.005543;0.000000;41657.412785;-0.496935;181146427683.623627;181146427683.623627;-0.496935;0.000000;
0.000100;0.005629;0.000000;33284.972579;-0.500000;143927108806.207520;143927108806.207520;-0.500000;0.000000;
0.000150;0.005716;0.000000;43552.654101;-0.496866;189408876174.943268;189408876174.943268;-0.496866;0.000000;
0.000100;0.005802;0.000000;34958.271720;-0.500000;151204721868.673065;151204721868.673065;-0.500000;0.000000;
0.000150;0.005889;0.000000;45953.919777;-0.496781;199882513505.491547;199882513505.491547;-0.496781;0.000000;
0.000100;0.005976;0.000000;37018.182298;-0.500000;160168183826.493408;160168183826.493408;-0.500000;0.000000;
0.000150;0.006062;0.000000;48840.260550;-0.496681;212478776345.979126;212478776345.979126;-0.496681;0.000000;
0.000100;0.006149;0.000000;39445.509555;-0.500000;170735941780.592163;170735941780.592163;-0.500000;0.000000;
0.000150;0.006235;0.000000;52182.653802;-0.496569;227073622614.090179;227073622614.090179;-0.496569;0.000000;
0.000100;0.006322;0.000000;42214.403487;-0.500000;182797163783.851746;182797163783.851746;-0.500000;0.000000;
0.000150;0.006409;0.000000;55943.199836;-0.496448;243503735222.335052;243503735222.335052;-0.496448;0.000000;
0.000100;0.006495;0.000000;45291.958385;-0.500000;196209817301.918152;196209817301.918152;-0.500000;0.000000;
0.000150;0.006582;0.000000;60074.961592;-0.496318;261565621342.081177;261565621342.081177;-0.496318;0.000000;
0.000100;0.006668;0.000000;48638.353141;-0.500000;210801177467.928589;210801177467.928589;-0.500000;0.000000;
0.000150;0.006755;0.000000;64522.517477;-0.496184;281017928189.085266;281017928189.085266;-0.496184;0.000000;
