x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;35812.237679;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;21407.407870;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;39297.326922;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;21758.346354;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;38946.482543;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;21470.784509;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;38433.051255;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;21176.009072;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;37865.282387;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;20835.229677;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;37192.588948;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;20431.856724;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;36401.581898;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;19962.624810;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;35491.360683;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;19428.590682;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;34466.016562;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;18832.882458;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;33332.612505;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;18180.064987;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;32100.578696;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;17475.946430;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;30781.523675;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;16727.512712;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;29389.152432;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;15942.882653;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;27939.170827;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;15131.237598;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;26449.118411;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;14302.702052;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;24938.099267;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;13468.163693;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;23426.398378;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;12639.030374;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;21934.987462;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;11826.930898;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;20484.940936;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;11043.375595;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;19096.799104;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;10299.401170;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;17789.929343;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;9605.230546;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;16581.944308;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;8969.980817;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;15488.236242;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;8401.449876;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;14521.676971;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;7906.004303;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;13692.513962;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;7488.578238;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;13008.466083;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;7152.776842;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;12474.992040;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;6901.061125;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;12095.675492;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;6734.976687;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;11872.649504;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;6655.380504;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;11806.974821;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;6662.619788;-0.500000;0.000000;0.000000;-0.500000;0.000000;
