x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;21276.299780;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;10586.159297;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;23266.685425;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;10615.439600;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;22926.827079;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;10462.347280;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;22621.421717;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;10320.819742;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;22289.250453;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;10157.298060;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;21895.476131;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;9963.655577;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;21432.355472;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;9738.369849;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;20899.404572;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;9481.960418;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;20299.031691;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;9195.933025;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;19635.377302;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;8882.481056;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;18913.966128;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;8544.394431;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;18141.598570;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;8185.028778;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;17326.303597;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;7808.284175;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;16477.283147;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;7418.571480;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;15604.814304;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;7020.755001;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;14720.091465;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;6620.065937;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;13835.001176;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;6221.985437;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;12961.831927;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;5832.100532;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;12112.931060;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;5455.940656;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;11300.330570;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;5098.806577;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;10535.371725;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;4765.606541;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;9828.363247;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;4460.715641;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;9188.307914;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;4187.873181;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;8622.726824;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;3950.128951;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;8137.599288;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;3749.843152;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;7737.420510;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;3588.736864;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;7425.361129;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;3467.981841;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;7203.495550;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;3388.311510;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;7073.053358;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;3350.130960;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;7034.643291;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;3353.603669;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;7088.403979;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;3398.697043;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;7234.049810;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;3485.176970;-0.500000;0.000000;0.000000;-0.500000;0.000000;
