x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;30490.670699;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;17286.542825;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;33473.604026;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;17501.805608;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;33109.635803;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;17261.707867;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;32670.467650;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;17025.412680;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;32188.548795;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;16752.415919;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;31617.504384;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;16429.231102;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;30945.982197;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;16053.264824;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;30173.238163;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;15625.370484;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;29302.751737;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;15148.056598;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;28340.521543;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;14624.981675;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;27294.555052;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;14060.800209;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;26174.709203;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;13461.110513;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;24992.621284;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;12832.418922;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;23761.627950;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;12182.083475;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;22496.623325;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;11518.218260;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;21213.830368;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;10849.549112;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;19930.474916;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;10185.218754;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;18664.365718;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;9534.546814;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;17433.398043;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;8906.757564;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;16255.012393;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;8310.695045;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;15145.651496;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;7754.550201;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;14120.265815;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;7245.626653;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;13191.917831;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;6790.169623;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;12371.527321;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;6393.276175;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;11667.783500;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;6058.894581;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;11087.227125;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;5789.907684;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;10634.479584;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;5588.281602;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;10312.571256;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;5455.249686;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;10123.303305;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;5391.494871;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;10067.570067;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;5397.293479;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;10145.576049;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;5472.590728;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;10356.901950;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;5616.991687;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;10700.404292;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;5829.668518;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;11173.967347;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;6109.202062;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;11774.156566;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;6453.389527;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;12495.843489;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;6859.057232;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;13331.878587;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;7321.916810;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006409;0.000000;14272.879945;-0.500000;37860121226.811096;37860121226.811096;-0.500000;0.000000;
0.000000;0.006495;0.000000;7836.495309;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006582;0.000000;15307.184484;-0.500000;40665929528.662781;40665929528.662781;-0.500000;0.000000;
0.000000;0.006668;0.000000;8396.156341;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006755;0.000000;16420.980003;-0.500000;43688287617.352242;43688287617.352242;-0.500000;0.000000;
0.000000;0.006842;0.000000;8993.214116;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006928;0.000000;17598.607240;-0.500000;46884672989.799492;46884672989.799492;-0.500000;0.000000;
0.000000;0.007015;0.000000;9619.128167;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007101;0.000000;18822.997437;-0.500000;50208673132.784180;50208673132.784180;-0.500000;0.000000;
0.000000;0.007188;0.000000;10264.756438;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007275;0.000000;20076.196273;-0.500000;53611427663.070290;53611427663.070290;-0.500000;0.000000;
0.000000;0.007361;0.000000;10920.639441;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007448;0.000000;21339.920526;-0.500000;57043160147.244682;57043160147.244682;-0.500000;0.000000;
0.000000;0.007534;0.000000;11577.288241;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007621;0.000000;22596.098068;-0.500000;60454662475.084343;60454662475.084343;-0.500000;0.000000;
0.000000;0.007708;0.000000;12225.452937;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007794;0.000000;23827.352047;-0.500000;63798623653.849617;63798623653.849617;-0.500000;0.000000;
0.000000;0.007881;0.000000;12856.354666;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007967;0.000000;25017.403576;-0.500000;67030732418.933022;67030732418.933022;-0.500000;0.000000;
0.000000;0.008054;0.000000;13461.871470;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008141;0.000000;26151.381723;-0.500000;70110523038.108673;70110523038.108673;-0.500000;0.000000;
0.000000;0.008227;0.000000;14034.676026;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008314;0.000000;27216.044323;-0.500000;73001973772.641479;73001973772.641479;-0.500000;0.000000;
0.000000;0.008400;0.000000;14568.331178;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008487;0.000000;28199.929569;-0.500000;75673911207.332123;75673911207.332123;-0.500000;0.000000;
0.000000;0.008574;0.000000;15057.359371;-0.500000;0.000000;0.000000;-0.500000;0.000000;
