x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;64537.579692;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;45516.236444;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;70073.902618;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;46759.131527;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;70002.516013;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;46278.027275;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;69133.863070;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;45644.710298;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;68110.443388;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;44904.425906;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;66896.297195;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;44028.436943;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;65468.942970;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;43009.592221;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;63826.612691;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;41850.112020;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;61976.631013;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;40556.763018;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;59931.718256;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;39139.444620;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;57708.873307;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;37610.757795;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;55329.023811;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
