x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;65444.371272;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;46312.356914;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;71032.066070;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;47585.214360;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;70973.175668;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;47099.891390;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;70094.617733;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;46455.597921;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;69057.021888;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;45702.082926;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;67825.935188;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;44810.434821;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;66378.672017;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;43773.381599;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;64713.438218;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;42593.181403;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;62837.659028;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;41276.721134;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;60764.231481;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;39834.076760;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;58510.391049;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;38278.074136;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;56097.356692;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;36624.139822;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;53550.177087;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;34890.200031;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;50897.554100;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;33096.524445;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;48171.536845;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;31265.462691;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;45407.030628;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;29421.047801;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;42641.098091;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;27588.461445;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;39912.059722;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;25793.375853;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;37258.431389;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;24061.207662;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;34717.766209;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;22416.337357;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;32325.492847;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;20881.361597;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;30113.857063;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;19476.450875;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;28111.073390;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;18218.879291;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;26340.776416;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;17122.775719;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;24821.826488;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;16199.117514;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;23568.476214;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;15455.952727;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;22590.849016;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;14898.800163;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;21895.628711;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;14531.145609;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;21486.820833;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;14354.934324;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;21366.431680;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;14370.959627;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;21534.925609;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;14579.066982;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;21991.364066;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;14978.129417;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;22733.193787;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;15565.796567;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;23755.723557;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;16338.066309;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;25051.393716;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;17288.765080;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;26608.986451;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
