x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;2331.811290;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;520.819964;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;2211.251673;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;509.435176;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;2171.105543;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;506.228833;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;2146.219542;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;503.377882;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;2118.839488;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;500.063064;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;2086.281604;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;496.132873;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;2047.963005;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;491.559012;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;2003.856720;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;486.352667;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;1954.165787;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;480.544607;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;1899.234143;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;474.179440;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;1839.519607;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;467.313856;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;1775.585493;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;460.016039;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;1708.096963;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;452.365246;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;1637.816541;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;444.451130;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;1565.596062;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;436.372582;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;1492.363590;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;428.235963;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;1419.104701;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;420.152724;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;1346.838314;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;412.236462;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;1276.588092;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;404.599585;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;1209.351211;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;397.349816;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;1146.067029;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;390.586839;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;1087.588557;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;384.399433;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;1034.659660;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;378.863375;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;987.900471;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;374.040349;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;947.802522;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;369.977969;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;914.733793;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;366.710823;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;888.952337;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;364.262343;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;870.625693;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;362.647101;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;859.852234;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;361.873086;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;856.680161;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;361.943497;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;861.120295;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;362.857685;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;873.149968;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;364.611044;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;892.707125;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;367.193849;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;919.675725;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;370.589288;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;953.865335;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;374.771060;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;994.989013;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;379.701036;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;1042.643961;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;385.327455;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006409;0.000000;1096.298924;-0.500000;37860121226.811096;37860121226.811096;-0.500000;0.000000;
0.000000;0.006495;0.000000;391.584038;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006582;0.000000;1155.291076;-0.500000;40665929528.662781;40665929528.662781;-0.500000;0.000000;
0.000000;0.006668;0.000000;398.390222;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006755;0.000000;1218.833443;-0.500000;43688287617.352242;43688287617.352242;-0.500000;0.000000;
0.000000;0.006842;0.000000;405.652553;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006928;0.000000;1286.032248;-0.500000;46884672989.799492;46884672989.799492;-0.500000;0.000000;
0.000000;0.007015;0.000000;413.267067;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007101;0.000000;1355.912133;-0.500000;50208673132.784180;50208673132.784180;-0.500000;0.000000;
0.000000;0.007188;0.000000;421.122395;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007275;0.000000;1427.446395;-0.500000;53611427663.070290;53611427663.070290;-0.500000;0.000000;
0.000000;0.007361;0.000000;429.103256;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007448;0.000000;1499.589116;-0.500000;57043160147.244682;57043160147.244682;-0.500000;0.000000;
0.000000;0.007534;0.000000;437.093983;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007621;0.000000;1571.306301;-0.500000;60454662475.084343;60454662475.084343;-0.500000;0.000000;
0.000000;0.007708;0.000000;444.981821;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007794;0.000000;1641.603767;-0.500000;63798623653.849617;63798623653.849617;-0.500000;0.000000;
0.000000;0.007881;0.000000;452.659767;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007967;0.000000;1709.550297;-0.500000;67030732418.933022;67030732418.933022;-0.500000;0.000000;
0.000000;0.008054;0.000000;460.028839;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008141;0.000000;1774.295412;-0.500000;70110523038.108673;70110523038.108673;-0.500000;0.000000;
0.000000;0.008227;0.000000;466.999758;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008314;0.000000;1835.081978;-0.500000;73001973772.641479;73001973772.641479;-0.500000;0.000000;
0.000000;0.008400;0.000000;473.494103;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008487;0.000000;1891.254745;-0.500000;75673911207.332123;75673911207.332123;-0.500000;0.000000;
0.000000;0.008574;0.000000;479.445144;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008660;0.000000;1942.267318;-0.500000;78100336865.178238;78100336865.178238;-0.500000;0.000000;
0.000000;0.008747;0.000000;484.798743;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008833;0.000000;1987.692890;-0.500000;80260925649.174698;80260925649.174698;-0.500000;0.000000;
0.000000;0.008920;0.000000;489.515311;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009007;0.000000;2027.252245;-0.500000;82142321276.646591;82142321276.646591;-0.500000;0.000000;
0.000000;0.009093;0.000000;493.575526;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009180;0.000000;2060.901318;-0.500000;83742161385.012299;83742161385.012299;-0.500000;0.000000;
0.000000;0.009266;0.000000;496.999747;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009353;0.000000;2089.147986;-0.500000;85083417213.623810;85083417213.623810;-0.500000;0.000000;
0.000000;0.009440;0.000000;499.929289;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009526;0.000000;2114.551483;-0.500000;86279577216.475891;86279577216.475891;-0.500000;0.000000;
0.000000;0.009613;0.000000;503.154856;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009699;0.000000;2154.307945;-0.500000;88005545946.070374;88005545946.070374;-0.500000;0.000000;
0.000000;0.009786;0.000000;514.265016;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009873;0.000000;2271.624704;-0.500000;102317619895.577728;102317619895.577728;-0.500000;0.000000;
0.000150;0.000000;0.000000;8159.879135;-0.494072;451899762831.003113;451899762831.003113;-0.494072;0.000000;
0.000100;0.000087;0.000000;8254.655546;-0.500000;473536870868.471680;473536870868.471680;-0.500000;0.000000;
0.000150;0.000173;0.000000;10295.178043;-0.494501;582474717635.123169;582474717635.123169;-0.494501;0.000000;
0.000100;0.000260;0.000000;7898.703909;-0.500000;448474949838.747314;448474949838.747314;-0.500000;0.000000;
0.000150;0.000346;0.000000;10120.218194;-0.494554;572078805759.321777;572078805759.321777;-0.494554;0.000000;
0.000100;0.000433;0.000000;7787.746316;-0.500000;441915288983.169128;441915288983.169128;-0.500000;0.000000;
0.000150;0.000520;0.000000;9992.856071;-0.494590;564649612361.020142;564649612361.020142;-0.494590;0.000000;
0.000100;0.000606;0.000000;7684.939908;-0.500000;435845783319.285339;435845783319.285339;-0.500000;0.000000;
0.000150;0.000693;0.000000;9849.822277;-0.494630;556314943907.620728;556314943907.620728;-0.494630;0.000000;
0.000100;0.000779;0.000000;7564.745081;-0.500000;428751250668.002686;428751250668.002686;-0.500000;0.000000;
0.000150;0.000866;0.000000;9679.144378;-0.494679;546371005634.516785;546371005634.516785;-0.494679;0.000000;
0.000100;0.000953;0.000000;7422.082856;-0.500000;420330934432.788513;420330934432.788513;-0.500000;0.000000;
0.000150;0.001039;0.000000;9478.102153;-0.494736;534658399017.939270;534658399017.939270;-0.494736;0.000000;
0.000100;0.001126;0.000000;7256.006824;-0.500000;410528780714.841431;410528780714.841431;-0.500000;0.000000;
0.000150;0.001212;0.000000;9246.632842;-0.494803;521173267507.325439;521173267507.325439;-0.494803;0.000000;
0.000100;0.001299;0.000000;7066.944177;-0.500000;399369956341.954224;399369956341.954224;-0.500000;0.000000;
0.000150;0.001386;0.000000;8985.823396;-0.494879;505978888136.303101;505978888136.303101;-0.494879;0.000000;
0.000100;0.001472;0.000000;6856.018164;-0.500000;386920749604.755371;386920749604.755371;-0.500000;0.000000;
0.000150;0.001559;0.000000;8697.483679;-0.494965;489180699282.894165;489180699282.894165;-0.494965;0.000000;
0.000100;0.001645;0.000000;6624.850130;-0.500000;373276861730.291626;373276861730.291626;-0.500000;0.000000;
0.000150;0.001732;0.000000;8384.015453;-0.495060;470918641609.313110;470918641609.313110;-0.495060;0.000000;
0.000100;0.001819;0.000000;6375.498755;-0.500000;358559814084.760742;358559814084.760742;-0.500000;0.000000;
0.000150;0.001905;0.000000;8048.371843;-0.495164;451364788905.176270;451364788905.176270;-0.495164;0.000000;
0.000100;0.001992;0.000000;6110.439681;-0.500000;342915743725.751282;342915743725.751282;-0.500000;0.000000;
0.000150;0.002078;0.000000;7694.039591;-0.495276;430722311839.151917;430722311839.151917;-0.495276;0.000000;
0.000100;0.002165;0.000000;5832.550905;-0.500000;326514540071.489258;326514540071.489258;-0.500000;0.000000;
0.000150;0.002252;0.000000;7325.016296;-0.495395;409224149882.601929;409224149882.601929;-0.495395;0.000000;
0.000100;0.002338;0.000000;5545.088473;-0.500000;309548409856.365784;309548409856.365784;-0.500000;0.000000;
0.000150;0.002425;0.000000;6945.768716;-0.495521;387130580177.216553;387130580177.216553;-0.495521;0.000000;
0.000100;0.002511;0.000000;5251.644432;-0.500000;292229393226.985718;292229393226.985718;-0.500000;0.000000;
0.000150;0.002598;0.000000;6561.164640;-0.495653;364725244942.293091;364725244942.293091;-0.495653;0.000000;
0.000100;0.002685;0.000000;4956.082921;-0.500000;274785589837.737091;274785589837.737091;-0.500000;0.000000;
0.000150;0.002771;0.000000;6176.375167;-0.495788;342309453740.037048;342309453740.037048;-0.495788;0.000000;
0.000100;0.002858;0.000000;4662.453578;-0.500000;257456044514.405090;257456044514.405090;-0.500000;0.000000;
0.000150;0.002944;0.000000;5796.748365;-0.495927;320194817344.867310;320194817344.867310;-0.495927;0.000000;
0.000100;0.003031;0.000000;4374.884646;-0.500000;240484434168.277161;240484434168.277161;-0.500000;0.000000;
0.000150;0.003118;0.000000;5427.659603;-0.496066;298694520619.388245;298694520619.388245;-0.496066;0.000000;
0.000100;0.003204;0.000000;4097.461509;-0.500000;224111894260.715118;224111894260.715118;-0.500000;0.000000;
0.000150;0.003291;0.000000;5074.348035;-0.496204;278113789112.821533;278113789112.821533;-0.496204;0.000000;
0.000100;0.003377;0.000000;3834.099456;-0.500000;208569504498.117096;208569504498.117096;-0.500000;0.000000;
0.000150;0.003464;0.000000;4741.752352;-0.496338;258740313034.994232;258740313034.994232;-0.496338;0.000000;
0.000100;0.003551;0.000000;3588.421744;-0.500000;194071087904.534637;194071087904.534637;-0.500000;0.000000;
0.000150;0.003637;0.000000;4434.361058;-0.496467;240835518905.228088;240835518905.228088;-0.496467;0.000000;
0.000100;0.003724;0.000000;3363.654944;-0.500000;180807031304.366516;180807031304.366516;-0.500000;0.000000;
0.000150;0.003811;0.000000;4156.092592;-0.496588;224627583652.329407;224627583652.329407;-0.496588;0.000000;
0.000100;0.003897;0.000000;3162.552654;-0.500000;168939782703.785614;168939782703.785614;-0.500000;0.000000;
0.000150;0.003984;0.000000;3910.218227;-0.496698;210306944223.934204;210306944223.934204;-0.496698;0.000000;
0.000100;0.004070;0.000000;2987.355831;-0.500000;158601512087.957245;158601512087.957245;-0.500000;0.000000;
0.000150;0.004157;0.000000;3699.335690;-0.496796;198024768042.864319;198024768042.864319;-0.496796;0.000000;
0.000100;0.004244;0.000000;2839.793299;-0.500000;149894147648.507141;149894147648.507141;-0.500000;0.000000;
0.000150;0.004330;0.000000;3525.394558;-0.496879;187894444609.663696;187894444609.663696;-0.496879;0.000000;
0.000100;0.004417;0.000000;2721.120195;-0.500000;142891653256.118530;142891653256.118530;-0.500000;0.000000;
0.000150;0.004503;0.000000;3389.766503;-0.496945;179995693837.587524;179995693837.587524;-0.496945;0.000000;
0.000100;0.004590;0.000000;2632.185925;-0.500000;137644050519.185303;137644050519.185303;-0.500000;0.000000;
0.000150;0.004677;0.000000;3293.345863;-0.496993;174380444271.536743;174380444271.536743;-0.496993;0.000000;
0.000100;0.004763;0.000000;2573.518038;-0.500000;134182380359.587723;134182380359.587723;-0.500000;0.000000;
0.000150;0.004850;0.000000;3236.660464;-0.497021;171079307712.273468;171079307712.273468;-0.497021;0.000000;
0.000100;0.004936;0.000000;2545.405290;-0.500000;132523616195.065002;132523616195.065002;-0.500000;0.000000;
0.000150;0.005023;0.000000;3219.970400;-0.497030;170107349550.644348;170107349550.644348;-0.497030;0.000000;
