x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;54778.090259;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;37058.572398;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;59718.147306;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;37982.032708;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;59523.034355;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;37553.707571;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;58766.074172;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;37037.965564;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;57896.032548;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;36438.159858;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;56864.714546;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;35728.389692;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;55652.220736;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;34902.830564;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;54257.073992;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;33963.298873;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;52685.511494;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;32915.283925;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;50948.345359;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;31766.810253;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;49060.020430;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;30528.091008;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;47038.319505;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;29211.410313;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;44904.235583;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;27831.043304;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;42681.824417;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;26403.131955;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;40397.948213;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;24945.475214;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;38081.863806;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;23477.212972;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;35764.636301;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;22018.399729;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;33478.384161;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;20589.479846;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;31255.387348;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;19210.692457;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;29127.115076;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;17901.448926;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;27123.250542;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;16679.736538;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;25270.802477;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;15561.606325;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;23593.393393;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;14560.798388;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;22110.799841;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;13688.544110;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;20838.790826;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;12953.562197;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;19789.269788;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;12362.237342;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;18970.679112;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;11918.940997;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;18388.582135;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;11626.428932;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;18046.305300;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;11486.235671;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;17945.510769;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;11498.985648;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;18086.581982;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;11664.556625;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;18468.740895;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;11982.060034;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;19089.869480;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;12449.640094;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;19946.068671;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;13064.130867;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;21031.042505;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;13820.640115;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;22335.432104;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;14712.144542;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;23846.235832;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;15729.179743;-0.500000;0.000000;0.000000;-0.500000;0.000000;
