x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;39751.335877;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;24548.073646;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;43578.301048;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;25008.702624;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;43247.389660;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;24687.999532;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;42680.584514;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;24348.670186;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;42049.568160;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;23956.076678;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;41301.953226;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;23491.412703;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;40422.884771;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;22950.897282;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;39411.344149;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;22335.741153;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;38271.872496;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;21649.545517;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;37012.316768;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;20897.567709;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;35643.155371;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;20086.497438;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;34177.287414;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;19224.380940;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;32629.941319;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;18320.569138;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;31018.568446;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;17385.636522;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;29362.657295;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;16431.243672;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;27683.434491;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;15469.930013;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;26003.438717;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;14514.834071;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;24345.971935;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;13579.349038;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;22734.450876;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;12676.732075;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;21191.699943;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;11819.695550;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;19739.241917;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;11020.015509;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;18396.651926;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;10288.195503;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;17181.040248;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;9633.220914;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;16106.718932;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;9062.429732;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;15185.085929;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;8581.510986;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;14424.730751;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;8194.623436;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;13831.731695;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;7904.607857;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;13410.082497;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;7713.249828;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;13162.162699;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;7621.540319;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;13089.156882;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;7629.881217;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;13191.336908;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;7738.193254;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;13468.147755;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;7945.903056;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;13918.076939;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;8251.810523;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;14538.331774;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;8653.862380;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;15324.388603;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;9148.877311;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;16269.505070;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;9732.278434;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;17364.295037;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;10397.888071;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006409;0.000000;18596.454556;-0.500000;37860121226.811096;37860121226.811096;-0.500000;0.000000;
0.000000;0.006495;0.000000;11137.828352;-0.500000;0.000000;0.000000;-0.500000;0.000000;
